Species,mass
Loxodonta_africana,6000
Elephas_maximus,4000
Ceratotherium_simum,2500
Diceros_bicornis,1300
Equu_ caballus,375
Equus_zebra,300
Tapirus_bairdii,250
Equus_burchellii,292.5
Equus_hemionus,230
Hippopotamus_amphibius,3800
Giraffa_camelopardalis,1037.5
Bison_bison,882.5
Bos_sauveli,800
Syncerus_caffer,685
Camelus_dromedarius,525
Taurotragus_oryx,705.5
Alces_alces,417
Cervus_elaphus,300
Connochaetes_gnou,300
Hippotragus_equinus,238.25
Connochaetes_taurinus,233
Alcelaphus_buselaphus,153
Damaliscus_lunatus,130
Oreamnos_americanus,111.75
Rangifer_tarandus,110
Lama_guanicoe,83.5
Ovis_canadensis,117.5
Phacochoerus_aethiopicus,85
Odocoileus_hemionus,97
Capra_caucasica,70
Ovis_ammon,65
Gazella_granti,62.25
Odocoileus_virginianus,78.5
Dama_dama,67.5
Aepyceros_melampus,51.625
Antilocapra_americana,50
Capreolus_capreolus,50
Rupicapra_rupicapra,50
Antilope_cervicapra,37.25
Saiga_tatarica,35
Antidorcas_marsupialis,34
Gazella_subgutturosa,30
Procapra_gutturosa,30
Capra_aegagrus,30
Gazella_thomsonii,20.25
Madoqua_kirki,5
Ursus_maritimus,332.5
Ursus_arctos,275.65
Ursus_americanus,114.2
Crocuta_crocuta,58.5
Canis_lupus,37.65
Hyaena_hyaena,35.9
Canis_familiaris,25
Lycaon_pictus,19.99953957
Canis_latrans,14.20049368
Meles_meles,11.40037405
Canis_aureus,9.200117039
Procyon_lotor,8.666677197
Canis_mesomelas,7.00001053
Vulpes_vulpes,5.199848083
Nasua_narica,4.600159826
Urocyon_cinereoargenteus,4.133328437
Mephitis_mephitis,2.666589901
Gorilla_gorilla,127
Marmota_monax,4.000122837
Uromys_caudimaculatus,1.180024444
Sciurus_niger,1.077976717
Spermophilopsis_leptodactylus,0.600022451
Spermophilus_undulatus,0.600022451
Spermophilus_citellus,0.500011512
Sciurus_carolinensis,0.516678178
Sciurus_vulgaris,0.400012284
Spermophilus_beldingi,0.299995106
Rattus_rattus,0.249992323
Spermophilus_saturatus,0.22201202
Tamiasciurus_hudsonicus,0.21999617
Spermophilus_tridecemlineatus,0.124998559
Spermophilus_tereticaudus,0.112595023
Neotoma_lepida,0.110605714
Mesocricetus_brandti,0.110000618
Tamias_striatus,0.1
Dipodomys_deserti,0.097594403
Ammospermophilus_leucurus,0.07589635
Pseudomys_nanus,0.060997905
Zyzomys_argurus,0.060503108
Dipodomys_microps,0.056000515
Tamias_amoenus,0.051001751
Pseudomys_australis,0.050001727
Heteromys_desmarestianus,0.050001727
Dipodomys_ordii,0.047798465
Liomys_pictus,0.041997617
Chaetodipus_baileyi,0.039101046
Dipodomys_merriami,0.035
Notomys_cervinus,0.035001288
Microtus_pinetorum,0.029999511
Tamias_minimus,0.034534062
Zapus_trinotatus,0.028498528
Blarina_brevicauda,0.016
Peromyscus_leucopus,0.024998849
Napaeozapus_insignis,0.024999232
Perognathus_parvus,0.024400286
Peromyscus_eremicus,0.019800794
Peromyscus_truei,0.019300949
Onychomys_torridus,0.019300949
Peromyscus_maniculatus,0.022133733
Chaetodipus_fallax,0.01800057
Zapus_hudsonius,0.01800038
Pseudomys_hermannsburgensis,0.01800057
Mus_musculus,0.015999755
Leggadina_forresti,0.015499434
Peromyscus_crinitus,0.013699676
Microdipodops_megacephalus,0.012299928
Perognathus_longimembris,0.008900102
Lepus_arcticus,4.600148888
Lepus_alleni,4.400159826
Lepus_europaeus,4.000122837
Lepus_townsendii,3.500085847
Lepus_californicus,1.999953957
Oryctolagus_cuniculus,1.900067668
Lepus_americanus,1.500010063
Sylvilagus_floridanus,1.500010063
Macropus_eugenii,4.000184255
Bettongia_penicillata,1.100009264
Potorous_tridactylus,0.99796491
Isoodon_obesulus,0.717979794
Dasycercus_byrnei,0.120002591
Monodelphis_brevicaudata,0.074503751
Antechinus_flavipes,0.0519998
Antechinus_stuartii,0.0315
Sminthopsis_laniger,0.024998849
Sminthopsis_macroura,0.019999309
Sminthopsis_crassicaudata,0.016999043
Cercartetus_concinnus,0.015000151
Myrmecobius_fasciatus,0.479977212
Didelphis_marsupialis,4.999999996
Elephantulus_rupestris,0.06
Elephantulus_edwardii,0.0499
Panthera_tigris,195.5
Panthera_leo,152.9
Acinonyx_jubatus,56.9
Panthera_pardus,56.2
Panthera_onca,44
Leopardus_pardalis,9.6
Caracal_caracal,6.6
Felis_catus,2.66
Lynx_canadensis,11
Leptailurus_serval,8.5
Puma_concolor,60
Notomys_alexis,0.024500957
Microtus_pennsylvanicus,0.050001151
Homo_sapiens,70
