cont,status,order,Family,genus,species,logM,M,mass
NA,extant,Artiodactyla,Antilocapridae,Antilocapra,americana,4.66,46082.9,46.0829
AF,extant,Artiodactyla,Bovidae,Addax,nasomaculatus,4.85,70000.3,70.0003
AF,extant,Artiodactyla,Bovidae,Aepyceros,melampus,4.72,52500.1,52.5001
AF,extant,Artiodactyla,Bovidae,Alcelaphus,buselaphus,5.23,171001.5,171.0015
AF,extant,Artiodactyla,Bovidae,Ammodorcas,clarkei,4.45,28049.8,28.0498
AF,extant,Artiodactyla,Bovidae,Ammotragus,lervia,4.68,48000,48
AF,extant,Artiodactyla,Bovidae,Antidorcas,marsupialis,4.59,39049.9,39.0499
EA,extant,Artiodactyla,Bovidae,Antilope,cervicapra,4.57,37500,37.5
EA,extant,Artiodactyla,Bovidae,Bison,bonasus,5.7,500000,500
NA,extant,Artiodactyla,Bovidae,Bison,bison,5.76,579255.3,579.2553
AF,extant,Artiodactyla,Bovidae,Bos,taurus,5.95,900000,900
EA,extant,Artiodactyla,Bovidae,Bos,grunniens,5.52,333000,333
EA,extant,Artiodactyla,Bovidae,Bos,javanicus,5.85,700000,700
EA,extant,Artiodactyla,Bovidae,Bos,frontalis,5.9,800000,800
EA,extant,Artiodactyla,Bovidae,Bos,sauveli,5.9,800000,800
Insular,extant,Artiodactyla,Bovidae,Bos,javanicus,5.85,700000,700
EA,extant,Artiodactyla,Bovidae,Boselaphus,tragocamelus,5.23,169000,169
EA,extant,Artiodactyla,Bovidae,Bubalus,bubalis,4.57,37500,37.5
Insular,extant,Artiodactyla,Bovidae,Bubalus,quarlesi,5.18,150000,150
Insular,extant,Artiodactyla,Bovidae,Bubalus,mindorensis,5.37,233333.3,233.3333
Insular,extant,Artiodactyla,Bovidae,Bubalus,depressicornis,5.48,300000,300
EA,extant,Artiodactyla,Bovidae,Budorcas,taxicolor,5.48,302000,302
AF,extant,Artiodactyla,Bovidae,Capra,nubiana,4.9,78999.7,78.9997
AF,extant,Artiodactyla,Bovidae,Capra,walie,5,100000,100
AF,extant,Artiodactyla,Bovidae,Capra,ibex,5,100999.7,100.9997
EA,extant,Artiodactyla,Bovidae,Capra,falconeri,4.61,41000,41
EA,extant,Artiodactyla,Bovidae,Capra,nubiana,4.67,46250,46.25
EA,extant,Artiodactyla,Bovidae,Capra,cylindricornis,4.7,50000,50
EA,extant,Artiodactyla,Bovidae,Capra,pyrenaica,4.7,50000,50
